MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Origin,age
18.0,8,307.0,130,3504,307.0,US,49
16.0,8,304.0,150,3433,304.0,US,49
17.0,8,302.0,140,3449,302.0,US,49
14.0,8,454.0,220,4354,454.0,US,49
23.55142857142857,8,440.0,215,4312,440.0,US,49
14.0,8,455.0,225,4425,455.0,US,49
15.0,8,390.0,190,3850,390.0,US,49
15.0,8,383.0,170,3563,383.0,US,49
14.0,5,340.0,160,3609,340.0,US,49
23.55142857142857,8,400.0,150,3761,400.0,US,49
14.0,8,455.0,225,3086,455.0,US,49
24.0,4,113.0,95,2372,113.0,Japan,49
22.0,6,198.0,95,2833,198.0,US,49
18.0,6,199.0,97,2774,199.0,US,49
21.0,6,200.0,85,2587,200.0,US,49
27.0,4,97.0,88,2130,97.0,Japan,49
26.0,4,97.0,46,1835,97.0,Europe,49
23.55142857142857,4,110.0,87,2672,110.0,Europe,49
24.0,4,107.0,90,2430,107.0,Europe,49
25.0,5,104.0,95,2375,104.0,Europe,49
26.0,4,121.0,113,2234,121.0,Europe,49
21.0,6,199.0,90,2648,199.0,US,49
10.0,8,360.0,215,4615,360.0,US,49
10.0,8,307.0,200,4376,307.0,US,49
11.0,8,318.0,210,4382,318.0,US,49
9.0,8,304.0,193,4732,304.0,US,49
27.0,4,97.0,88,2130,97.0,Japan,48
23.55142857142857,4,140.0,90,2264,140.0,US,48
25.0,4,113.0,95,2228,113.0,Japan,48
19.0,5,232.0,100,2634,232.0,US,48
16.0,6,225.0,105,3439,225.0,US,48
17.0,6,250.0,100,3329,250.0,US,48
19.0,6,250.0,88,3302,250.0,US,48
18.0,6,232.0,100,3288,232.0,US,48
14.0,8,350.0,165,4209,350.0,US,48
14.0,8,400.0,175,4464,400.0,US,48
14.0,8,351.0,153,4154,351.0,US,48
23.55142857142857,8,318.0,150,4096,318.0,US,48
12.0,8,383.0,180,4955,383.0,US,48
13.0,5,400.0,170,4746,400.0,US,48
13.0,8,400.0,175,5140,400.0,US,48
18.0,6,258.0,110,2962,258.0,US,48
22.0,4,140.0,72,2408,140.0,US,48
19.0,6,250.0,100,3282,250.0,US,48
18.0,6,250.0,88,3139,250.0,US,48
23.0,4,122.0,86,2220,122.0,US,48
28.0,4,116.0,90,2123,116.0,Europe,48
23.55142857142857,4,79.0,70,2074,79.0,Europe,48
30.0,5,88.0,76,2065,88.0,Europe,48
31.0,4,71.0,65,1773,71.0,Japan,48
35.0,4,72.0,69,1613,72.0,Japan,48
27.0,4,97.0,60,1834,97.0,Europe,48
26.0,4,91.0,70,1955,91.0,US,48
24.0,4,113.0,95,2278,113.0,Japan,47
25.0,4,97.5,80,2126,97.5,US,47
23.0,5,97.0,54,2254,97.0,Europe,47
20.0,4,140.0,90,2408,140.0,US,47
21.0,4,122.0,86,2226,122.0,US,47
13.0,8,350.0,165,4274,350.0,US,47
14.0,8,400.0,175,4385,400.0,US,47
15.0,8,318.0,150,4135,318.0,US,47
14.0,8,351.0,153,4129,351.0,US,47
17.0,8,304.0,150,3672,304.0,US,47
11.0,8,429.0,208,4633,429.0,US,47
12.0,8,350.0,160,4456,350.0,US,47
13.0,5,400.0,190,4422,400.0,US,47
23.55142857142857,3,70.0,97,2330,70.0,Japan,47
15.0,8,304.0,150,3892,304.0,US,47
13.0,8,307.0,130,4098,307.0,US,47
13.0,8,302.0,140,4294,302.0,US,47
14.0,8,318.0,150,4077,318.0,US,47
18.0,4,121.0,112,2933,121.0,Europe,47
22.0,4,121.0,76,2511,121.0,Europe,47
21.0,4,120.0,87,2979,120.0,Europe,47
26.0,4,96.0,69,2189,96.0,Europe,47
22.0,4,122.0,86,2395,122.0,US,47
28.0,4,97.0,92,2288,97.0,Japan,47
23.55142857142857,4,120.0,97,2506,120.0,Japan,47
28.0,5,98.0,80,2164,98.0,US,47
27.0,4,97.0,88,2100,97.0,Japan,47
13.0,8,350.0,175,4100,350.0,US,46
14.0,8,304.0,150,3672,304.0,US,46
13.0,8,350.0,145,3988,350.0,US,46
14.0,8,302.0,137,4042,302.0,US,46
12.0,5,429.0,198,4952,429.0,US,46
13.0,8,400.0,150,4464,400.0,US,46
23.55142857142857,8,351.0,158,4363,351.0,US,46
14.0,8,318.0,150,4237,318.0,US,46
13.0,8,440.0,215,4735,440.0,US,46
12.0,8,455.0,225,4951,455.0,US,46
13.0,8,360.0,175,3821,360.0,US,46
18.0,6,225.0,105,3121,225.0,US,46
16.0,6,250.0,100,3278,250.0,US,46
18.0,6,232.0,100,2945,232.0,US,46
18.0,6,250.0,88,3021,250.0,US,46
26.0,4,97.0,46,1950,97.0,Europe,46
11.0,8,400.0,150,4997,400.0,US,46
12.0,8,400.0,167,4906,400.0,US,46
13.0,8,360.0,170,4654,360.0,US,46
12.0,8,350.0,180,4499,350.0,US,46
18.0,6,232.0,100,2789,232.0,US,46
20.0,4,97.0,88,2279,97.0,Japan,46
21.0,4,140.0,72,2401,140.0,US,46
22.0,4,108.0,94,2379,108.0,Japan,46
18.0,3,70.0,90,2124,70.0,Japan,46
21.0,6,155.0,107,2472,155.0,US,46
26.0,4,98.0,90,2265,98.0,Europe,46
15.0,8,350.0,145,4082,350.0,US,46
16.0,8,400.0,230,4278,400.0,US,46
29.0,4,68.0,49,1867,68.0,Europe,46
24.0,4,116.0,75,2158,116.0,Europe,46
20.0,4,114.0,91,2582,114.0,Europe,46
19.0,4,121.0,112,2868,121.0,Europe,46
15.0,8,318.0,150,3399,318.0,US,46
24.0,4,121.0,110,2660,121.0,Europe,46
20.0,6,156.0,122,2807,156.0,Japan,46
11.0,8,350.0,180,3664,350.0,US,46
20.0,6,198.0,95,3102,198.0,US,45
19.0,6,232.0,100,2901,232.0,US,45
15.0,6,250.0,100,3336,250.0,US,45
31.0,4,79.0,67,1950,79.0,Japan,45
26.0,4,122.0,80,2451,122.0,US,45
32.0,4,71.0,65,1836,71.0,Japan,45
25.0,4,140.0,75,2542,140.0,US,45
16.0,6,250.0,100,3781,250.0,US,45
16.0,6,258.0,110,3632,258.0,US,45
18.0,6,225.0,105,3613,225.0,US,45
16.0,8,302.0,140,4141,302.0,US,45
13.0,8,350.0,150,4699,350.0,US,45
14.0,8,318.0,150,4457,318.0,US,45
14.0,8,302.0,140,4638,302.0,US,45
14.0,8,304.0,150,4257,304.0,US,45
29.0,4,98.0,83,2219,98.0,Europe,45
26.0,4,79.0,67,1963,79.0,Europe,45
26.0,4,97.0,78,2300,97.0,Europe,45
31.0,4,76.0,52,1649,76.0,Japan,45
32.0,4,83.0,61,2003,83.0,Japan,45
28.0,4,90.0,75,2125,90.0,US,45
24.0,4,90.0,75,2108,90.0,Europe,45
26.0,4,116.0,75,2246,116.0,Europe,45
24.0,4,120.0,97,2489,120.0,Japan,45
26.0,4,108.0,93,2391,108.0,Japan,45
31.0,4,79.0,67,2000,79.0,Europe,45
19.0,6,225.0,95,3264,225.0,US,44
18.0,6,250.0,105,3459,250.0,US,44
15.0,6,250.0,72,3432,250.0,US,44
15.0,6,250.0,72,3158,250.0,US,44
16.0,8,400.0,170,4668,400.0,US,44
15.0,8,350.0,145,4440,350.0,US,44
16.0,8,318.0,150,4498,318.0,US,44
14.0,8,351.0,148,4657,351.0,US,44
17.0,6,231.0,110,3907,231.0,US,44
16.0,6,250.0,105,3897,250.0,US,44
15.0,6,258.0,110,3730,258.0,US,44
18.0,6,225.0,95,3785,225.0,US,44
21.0,6,231.0,110,3039,231.0,US,44
20.0,8,262.0,110,3221,262.0,US,44
13.0,8,302.0,129,3169,302.0,US,44
29.0,4,97.0,75,2171,97.0,Japan,44
23.0,4,140.0,83,2639,140.0,US,44
20.0,6,232.0,100,2914,232.0,US,44
23.0,4,140.0,78,2592,140.0,US,44
24.0,4,134.0,96,2702,134.0,Japan,44
25.0,4,90.0,71,2223,90.0,Europe,44
24.0,4,119.0,97,2545,119.0,Japan,44
18.0,6,171.0,97,2984,171.0,US,44
29.0,4,90.0,70,1937,90.0,Europe,44
19.0,6,232.0,90,3211,232.0,US,44
23.0,4,115.0,95,2694,115.0,Europe,44
23.0,4,120.0,88,2957,120.0,Europe,44
22.0,4,121.0,98,2945,121.0,Europe,44
25.0,4,121.0,115,2671,121.0,Europe,44
33.0,4,91.0,53,1795,91.0,Japan,44
28.0,4,107.0,86,2464,107.0,Europe,43
25.0,4,116.0,81,2220,116.0,Europe,43
25.0,4,140.0,92,2572,140.0,US,43
26.0,4,98.0,79,2255,98.0,US,43
27.0,4,101.0,83,2202,101.0,Europe,43
17.5,8,305.0,140,4215,305.0,US,43
16.0,8,318.0,150,4190,318.0,US,43
15.5,8,304.0,120,3962,304.0,US,43
14.5,8,351.0,152,4215,351.0,US,43
22.0,6,225.0,100,3233,225.0,US,43
22.0,6,250.0,105,3353,250.0,US,43
24.0,6,200.0,81,3012,200.0,US,43
22.5,6,232.0,90,3085,232.0,US,43
29.0,4,85.0,52,2035,85.0,US,43
24.5,4,98.0,60,2164,98.0,US,43
